LE1,LE2,VEA,VEAT,VEC,VEV
STOX2,CAVIN2,MRPL33,PDGFB,PPM1D,MIER2
LINC01985,AGFG2,TIFA,ECE1,NOTCH4,EHD4
SNTG2,S100A10,ABLIM3,DYSF,RALGDS,EPB41L4A
SIRPA,KCTD17,TEK,TSHZ1,AC073352.2,HIPK3
GLIS3,HRCT1,EFNB2,EID3,DLL4,ABI3
NANP,CPNE5,PTPRB,CALCRL,CD3EAP,SLC12A6
SLC7A1,RASSF9,FES,ZC3H12C,RAPGEF4,FGD5
CYLD,SCN3B,GPIHBP1,RASGRF2,DEDD,GFOD1
HEY1,DIPK2B,IRAK2,EPHX1,HOXD1,PLVAP
ZNF71,SLC27A3,ARL2BP,ARHGDIA,AL109741.1,EVA1C
C6orf141,DPP4,CDC42BPA,MECOM,ASXL1,PDE10A
PGM2L1,PALM,ARPC5L,CYP1A1,TBC1D30,FBXO31
PAQR3,SNX2,NEDD9,GRPEL2,BMPR2,AK1
