cluster,gene,cluster0,celltype
Plasma_cell,IGLC1,Plasma_cell,B
Plasma_cell,IGLC2,Plasma_cell,B
Plasma_cell,IGLC3,Plasma_cell,B
Plasma_cell,DERL3,Plasma_cell,B
Plasma_cell,IGHM,Plasma_cell,B
Plasma_cell,AL139099.1,Plasma_cell,B
Plasma_cell,POU2AF1,Plasma_cell,B
Plasma_cell,SSR4,Plasma_cell,B
Plasma_cell,TXNDC5,Plasma_cell,B
Plasma_cell,AC078883.1,Plasma_cell,B
Plasma_cell,LINC01480,Plasma_cell,B
Plasma_cell,AC104699.1,Plasma_cell,B
Plasma_cell,SPINK2,Plasma_cell,B
Plasma_cell,LINC02384,Plasma_cell,B
Plasma_cell,ERN1,Plasma_cell,B
Plasma_cell,LTK,Plasma_cell,B
Plasma_cell,HERPUD1,Plasma_cell,B
Plasma_cell,TP53INP1,Plasma_cell,B
Plasma_cell,KCNK12,Plasma_cell,B
Plasma_cell,PAIP2B,Plasma_cell,B
Plasma_cell,PDK1,Plasma_cell,B
Plasma_cell,FCRL5,Plasma_cell,B
Plasma_cell,SEL1L,Plasma_cell,B
Plasma_cell,NUGGC,Plasma_cell,B
Plasma_cell,HIST1H2AC,Plasma_cell,B
Plasma_cell,U62317.4,Plasma_cell,B
Plasma_cell,AC012645.3,Plasma_cell,B
Plasma_cell,CCPG1,Plasma_cell,B
Plasma_cell,CD38,Plasma_cell,B
Plasma_cell,MT1F,Plasma_cell,B
Plasma_cell,ADTRP,Plasma_cell,B
Plasma_cell,TBCEL,Plasma_cell,B
Plasma_cell,EML5,Plasma_cell,B
Plasma_cell,MEI1,Plasma_cell,B
Plasma_cell,PIK3CG,Plasma_cell,B
Plasma_cell,FAM30A,Plasma_cell,B
Plasma_cell,MT1H,Plasma_cell,B
Plasma_cell,LINC02362,Plasma_cell,B
Plasma_cell,FCRL2,Plasma_cell,B
Plasma_cell,SEC11C,Plasma_cell,B
Plasma_cell,SPAG4,Plasma_cell,B
Plasma_cell,BLNK,Plasma_cell,B
Plasma_cell,SLC17A9,Plasma_cell,B
Plasma_cell,ATF5,Plasma_cell,B
Plasma_cell,CEP128,Plasma_cell,B
Plasma_cell,HIST1H4H,Plasma_cell,B
Plasma_cell,AL096865.1,Plasma_cell,B
Plasma_cell,HIST1H2BJ,Plasma_cell,B
Plasma_cell,JMY,Plasma_cell,B
Plasma_cell,SERP1,Plasma_cell,B
Plasma_cell,RABAC1,Plasma_cell,B
Plasma_cell,HIST1H2BC,Plasma_cell,B
Plasma_cell,ANKRD28,Plasma_cell,B
Plasma_cell,TGFBR3L,Plasma_cell,B
Plasma_cell,USP48,Plasma_cell,B
Plasma_cell,PIM2,Plasma_cell,B
Plasma_cell,CLECL1,Plasma_cell,B
Plasma_cell,ABHD5,Plasma_cell,B
Plasma_cell,HIST1H1C,Plasma_cell,B
Plasma_cell,TMEM107,Plasma_cell,B
Plasma_cell,HIST1H2BG,Plasma_cell,B
Plasma_cell,FKBP11,Plasma_cell,B
Plasma_cell,LINC00528,Plasma_cell,B
Plasma_cell,ERLEC1,Plasma_cell,B
Plasma_cell,MGAT2,Plasma_cell,B
Plasma_cell,KLHL6,Plasma_cell,B
Plasma_cell,TXNDC15,Plasma_cell,B
Plasma_cell,CD79A,Plasma_cell,B
Plasma_cell,SYNGR3,Plasma_cell,B
Plasma_cell,ST6GALNAC4,Plasma_cell,B
Plasma_cell,OTUD1,Plasma_cell,B
Plasma_cell,ZBP1,Plasma_cell,B
Plasma_cell,STAP1,Plasma_cell,B
Plasma_cell,DUSP5,Plasma_cell,B
Plasma_cell,IFNLR1,Plasma_cell,B
Plasma_cell,CRELD2,Plasma_cell,B
Plasma_cell,MANEA,Plasma_cell,B
Plasma_cell,GALNT2,Plasma_cell,B
Plasma_cell,EDEM1,Plasma_cell,B
Plasma_cell,LIME1,Plasma_cell,B
Plasma_cell,TMEM19,Plasma_cell,B
Plasma_cell,WNT10A,Plasma_cell,B
Plasma_cell,SRPRB,Plasma_cell,B
Plasma_cell,IZUMO4,Plasma_cell,B
Plasma_cell,FNDC3A,Plasma_cell,B
Plasma_cell,AC239799.2,Plasma_cell,B
