BMYO1,BMYO2,LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3
TMEM237,TNS4,NCCRP1,CBX6,RPL18,DNAJA4,ARHGAP11A,DHCR24,PCCA-DT,GLUL
USP31,ALDH7A1,TTLL4,SERTAD2,COX4I1,GOLGA8A,RAD51AP1,IBTK,DCDC2,PLAT
GCLM,S100B,VNN1,NKX3-1,MAP3K13,RPL12,MAD2L1,TSPAN1,SLC2A10,MUCL1
MRPS17,ARHGEF5,SGPP2,ZNF385C,RPS14,STAC2,PIF1,CLIC6,GSTM3,HOXB2
FGFR2,EGR2,KLK10,DAPP1,RPL36A,ZFAND2A,NUSAP1,LMO7,PLEKHF2,C12orf49
GPT2,STK17A,RASGEF1A,NDRG2,RPL18A,UBC,KIF23,C19orf33,FAAH,SLC4A7
PFKFB2,SLC2A12,PTGES2,PRPSAP1,RPS9,SOX9-AS1,PRC1,PLCD3,SREBF1,ACADSB
BLCAP,NEXN,IL34,ALDH1A3,RPS23,HSPA4L,CDCA2,GALNT7,MSMO1,UGDH
SLC1A5,TMEM178A,CYB5R2,ANKRD36C,RPL26,HIST1H2BF,AC091057.6,SIGLEC15,KIAA1324,CYP4X1
UCHL1,LGALS7B,TRIM2,SCGB2A1,RPL11,ATP5MC2,TACC3,STN1,MYBPC1,TFPI2
LINC00662,MGME1,CLDN8,BBOX1,ACTR3B,HSP90AB1,POC1A,RNF141,SRF,PPDPF
AC253572.2,LCA5,AQP5,PI3,RPL37A,AC012368.1,KIF14,SMIM14,LRRC26,BCAS4
SRM,RNF43,SBSN,TSLP,RPL14,BBOX1,RACGAP1,TSPAN15,SREBF2-AS1,IL17RB
ACTN4,SERPINB5,STEAP3,CTSV,RPL32,HSPH1,ZWINT,DNALI1,PTHLH,DIRAS3
THUMPD2,ISM1,PYGB,ZFAND6,RPL3,KIT,KIF18A,JPT2,SERHL2,H2AFJ
FEZ1,IRX2,WFDC2,IL34,SAR1B,WNK2,PARPBP,TLCD5,WNT4,SERPINA3
PLXNB1,ANO1,PRELID1,DENND2C,RPS8,SNHG29,NCAPH,FHDC1,CITED1,HAMP
DRAP1,CMYA5,CEACAM1,CLINT1,CCL28,PIGR,CDT1,ANKRD30B,GATA3-AS1,BORCS5
KLHL42,GAN,MEAK7,WFDC2,RPL35,RPS18,CENPK,VSIG2,COX6C,YIPF1
ZNF219,KRT5,GABRP,MAP3K8,RPL34,BAG3,ASF1B,DLG5,GREB1,MYBPC1
DSG3,MIR205HG,MELTF,ADAM9,SDC1,FKBP4,SGO2,ARPP19,CRACR2B,XBP1
ITGB1,FAM189A2,EFNA5,PIM1,RPS3A,CLDN8,ORC6,NDUFV2,IRX3,MAPT
KLHL13,FAM83B,MT-ND6,MRPS24,DNTTIP1,FAM3B,PCLAF,BAG1,SLC9A3R1,FDFT1
PKD1,MBNL2,NPAS2,ABI1,NSFL1C,RPL36,SMC4,GTF3C6,CCDC57,RAB43
PGM1,NRG2,MALL,KLK10,TTYH1,TCN1,CKAP2,NTN4,GPR160,COX6C
FAM126A,NAP1L2,MUC20,TIAM1,DSC2,ITPR2,PLK4,ATP6V1G1,FOXA1,DNALI1
SFN,LAMA3,ALDH1A3,GLUD1,PFDN4,FABP7,FAM83D,SMIM29,CALML3,ERG28
