cluster,gene,cluster0,celltype
LASP5,FOXM1,LASP5,Epithelial
LASP5,PLK1,LASP5,Epithelial
LASP5,PKMYT1,LASP5,Epithelial
LASP5,CCNB1,LASP5,Epithelial
LASP5,BIRC5,LASP5,Epithelial
LASP5,NCAPG,LASP5,Epithelial
LASP5,GTSE1,LASP5,Epithelial
LASP5,MYBL2,LASP5,Epithelial
LASP5,RRM2,LASP5,Epithelial
LASP5,MELK,LASP5,Epithelial
LASP5,PIMREG,LASP5,Epithelial
LASP5,KIF11,LASP5,Epithelial
LASP5,KIFC1,LASP5,Epithelial
LASP5,CDCA8,LASP5,Epithelial
LASP5,CDCA5,LASP5,Epithelial
LASP5,CCNA2,LASP5,Epithelial
LASP5,TPX2,LASP5,Epithelial
LASP5,ESCO2,LASP5,Epithelial
LASP5,CDC20,LASP5,Epithelial
LASP5,CENPE,LASP5,Epithelial
LASP5,CDKN3,LASP5,Epithelial
LASP5,UBE2T,LASP5,Epithelial
LASP5,TYMS,LASP5,Epithelial
LASP5,AURKA,LASP5,Epithelial
LASP5,MND1,LASP5,Epithelial
LASP5,NDC80,LASP5,Epithelial
LASP5,ANLN,LASP5,Epithelial
LASP5,ARHGAP11A,LASP5,Epithelial
LASP5,RAD51AP1,LASP5,Epithelial
LASP5,MAD2L1,LASP5,Epithelial
LASP5,PIF1,LASP5,Epithelial
LASP5,NUSAP1,LASP5,Epithelial
LASP5,KIF23,LASP5,Epithelial
LASP5,PRC1,LASP5,Epithelial
LASP5,CDCA2,LASP5,Epithelial
LASP5,AC091057.6,LASP5,Epithelial
LASP5,TACC3,LASP5,Epithelial
LASP5,POC1A,LASP5,Epithelial
LASP5,KIF14,LASP5,Epithelial
LASP5,RACGAP1,LASP5,Epithelial
LASP5,ZWINT,LASP5,Epithelial
LASP5,KIF18A,LASP5,Epithelial
LASP5,PARPBP,LASP5,Epithelial
LASP5,NCAPH,LASP5,Epithelial
LASP5,CDT1,LASP5,Epithelial
LASP5,CENPK,LASP5,Epithelial
LASP5,ASF1B,LASP5,Epithelial
LASP5,SGO2,LASP5,Epithelial
LASP5,ORC6,LASP5,Epithelial
LASP5,PCLAF,LASP5,Epithelial
LASP5,SMC4,LASP5,Epithelial
LASP5,CKAP2,LASP5,Epithelial
LASP5,PLK4,LASP5,Epithelial
LASP5,FAM83D,LASP5,Epithelial
LASP5,PTTG1,LASP5,Epithelial
LASP5,SPAG5,LASP5,Epithelial
