cluster,gene,cluster0,celltype
PV2,C4orf33,PV2,Peri
PV2,DACT3,PV2,Peri
PV2,HSPB7,PV2,Peri
PV2,PSMD12,PV2,Peri
PV2,NAP1L5,PV2,Peri
PV2,ADCY3,PV2,Peri
PV2,WDR45B,PV2,Peri
PV2,RASSF1,PV2,Peri
PV2,EIF1B,PV2,Peri
PV2,EPOR,PV2,Peri
PV2,CASP9,PV2,Peri
PV2,ZHX2,PV2,Peri
PV2,LINC00702,PV2,Peri
PV2,MFHAS1,PV2,Peri
PV2,MAP3K7CL,PV2,Peri
PV2,MRPL32,PV2,Peri
PV2,TRPC4,PV2,Peri
PV2,GCNA,PV2,Peri
PV2,MYOM2,PV2,Peri
PV2,PRKACA,PV2,Peri
PV2,HBP1,PV2,Peri
PV2,AXL,PV2,Peri
PV3,CASQ2,PV3,Peri
PV3,NRIP2,PV3,Peri
PV3,RERGL,PV3,Peri
PV3,WFDC1,PV3,Peri
PV3,KCNA5,PV3,Peri
PV3,SLC38A11,PV3,Peri
PV3,KCNAB1,PV3,Peri
PV3,PRPH,PV3,Peri
PV3,NRGN,PV3,Peri
PV3,HAPLN2,PV3,Peri
PV3,TBX2-AS1,PV3,Peri
PV3,MEF2B,PV3,Peri
PV3,PLN,PV3,Peri
PV3,MUSTN1,PV3,Peri
PV3,SGCA,PV3,Peri
PV3,PTP4A3,PV3,Peri
PV3,RBPMS2,PV3,Peri
PV3,MYOM1,PV3,Peri
PV3,KLHL23,PV3,Peri
PV3,RCAN2,PV3,Peri
PV3,MAP3K7CL,PV3,Peri
PV3,WTIP,PV3,Peri
PV3,FBXL13,PV3,Peri
PV3,ATP1A2,PV3,Peri
PV3,CACNA1A,PV3,Peri
PV3,GLDN,PV3,Peri
PV3,MYH11,PV3,Peri
PV3,NMNAT2,PV3,Peri
PV3,LDB3,PV3,Peri
PV3,CAP2,PV3,Peri
PV3,NTRK3,PV3,Peri
PV3,MYL9,PV3,Peri
PV3,PPM1L,PV3,Peri
PV3,SEPTIN4,PV3,Peri
PV3,HACD1,PV3,Peri
PV3,MGST3,PV3,Peri
PV3,TBX2,PV3,Peri
PV3,CAMK2G,PV3,Peri
PV3,SNTA1,PV3,Peri
PV3,HRC,PV3,Peri
PV3,NET1,PV3,Peri
PV3,FRZB,PV3,Peri
PV3,NUDT4,PV3,Peri
PV3,RASL12,PV3,Peri
PV3,CACNB2,PV3,Peri
PV3,NT5DC2,PV3,Peri
PV3,AC018647.1,PV3,Peri
PV3,LBH,PV3,Peri
PV3,AC092164.1,PV3,Peri
PV3,ADIRF,PV3,Peri
PV3,SORT1,PV3,Peri
PV3,NR2F2-AS1,PV3,Peri
PV3,ISYNA1,PV3,Peri
PV3,SORBS2,PV3,Peri
PV3,COX4I2,PV3,Peri
PV3,HOXB-AS1,PV3,Peri
PV3,DMPK,PV3,Peri
PV3,MAPRE2,PV3,Peri
PV3,CDH6,PV3,Peri
PV3,CCDC3,PV3,Peri
PV3,CABP1,PV3,Peri
PV3,NDUFA4L2,PV3,Peri
PV3,SERPINI1,PV3,Peri
PV3,HSDL2,PV3,Peri
PV3,ARHGEF25,PV3,Peri
PV3,CACNA1H,PV3,Peri
PV3,AC091182.1,PV3,Peri
PV3,ROCK1,PV3,Peri
PV3,AL450384.2,PV3,Peri
PV3,AKAP1,PV3,Peri
PV3,FAM122A,PV3,Peri
PV3,MICAL1,PV3,Peri
PV3,HRH2,PV3,Peri
PV3,CRIP1,PV3,Peri
PV3,PDE5A,PV3,Peri
PV3,ARPC1A,PV3,Peri
PV3,DSTN,PV3,Peri
PV3,KANK2,PV3,Peri
PV3,ADAMTS10,PV3,Peri
PV3,PPP1R1A,PV3,Peri
PV3,KIAA0040,PV3,Peri
PV3,THRA,PV3,Peri
PV3,HCFC1R1,PV3,Peri
PV3,MID1IP1,PV3,Peri
PV3,CABIN1,PV3,Peri
PV3,SMARCD3,PV3,Peri
PV3,NBEAL1,PV3,Peri
PV3,NOL3,PV3,Peri
PV3,NTRK2,PV3,Peri
PV3,AC104083.1,PV3,Peri
PV3,MRVI1,PV3,Peri
PV3,SLC2A4,PV3,Peri
PV3,SLC8A1,PV3,Peri
PV3,PPP1R14A,PV3,Peri
PV3,SEPTIN7,PV3,Peri
