cluster,gene,cluster0,celltype
Macro,FMN1,Macro,Mye
Macro,MYO1G,Macro,Mye
Macro,IL4I1,Macro,Mye
Macro,SLC2A6,Macro,Mye
Macro,SLAMF7,Macro,Mye
Macro,MIR155HG,Macro,Mye
Macro,ARMC9,Macro,Mye
Macro,TLR2,Macro,Mye
Macro,PHACTR1,Macro,Mye
Macro,CD68,Macro,Mye
Macro,CCL4L2,Macro,Mye
Macro,MANBA,Macro,Mye
Macro-lipo,CHIT1,Macro-lipo,Mye
Macro-lipo,TM4SF19,Macro-lipo,Mye
Macro-lipo,ATP6V0D2,Macro-lipo,Mye
Macro-lipo,TREM2,Macro-lipo,Mye
Macro-lipo,OCSTAMP,Macro-lipo,Mye
Macro-lipo,LINC02244,Macro-lipo,Mye
Macro-lipo,APOC2,Macro-lipo,Mye
Macro-lipo,LINC02384,Macro-lipo,Mye
Macro-lipo,TNFSF15,Macro-lipo,Mye
Macro-lipo,PLA2G2D,Macro-lipo,Mye
Macro-lipo,SULT1C2,Macro-lipo,Mye
Macro-lipo,PKD2L1,Macro-lipo,Mye
Macro-lipo,TMEM163,Macro-lipo,Mye
Macro-lipo,ACP5,Macro-lipo,Mye
Macro-lipo,HTRA4,Macro-lipo,Mye
Macro-lipo,MMP9,Macro-lipo,Mye
Macro-lipo,CLEC12A,Macro-lipo,Mye
Macro-lipo,SNX10,Macro-lipo,Mye
Macro-lipo,FDX1,Macro-lipo,Mye
Macro-lipo,ITGB2,Macro-lipo,Mye
Macro-lipo,DCSTAMP,Macro-lipo,Mye
Macro-lipo,SMIM25,Macro-lipo,Mye
Macro-lipo,ATP1A4,Macro-lipo,Mye
Macro-lipo,CLEC4E,Macro-lipo,Mye
Macro-lipo,LYZ,Macro-lipo,Mye
Macro-lipo,SLC16A6,Macro-lipo,Mye
Macro-lipo,AC020656.1,Macro-lipo,Mye
Macro-lipo,DNAJC5B,Macro-lipo,Mye
Macro-lipo,AL121890.4,Macro-lipo,Mye
Macro-lipo,MFSD12,Macro-lipo,Mye
Macro-lipo,AC083864.5,Macro-lipo,Mye
Macro-lipo,CCL18,Macro-lipo,Mye
Macro-lipo,NR1H3,Macro-lipo,Mye
Macro-lipo,AK8,Macro-lipo,Mye
Macro-lipo,CTSS,Macro-lipo,Mye
Macro-lipo,GM2A,Macro-lipo,Mye
Macro-lipo,AL356417.3,Macro-lipo,Mye
Macro-lipo,PSD3,Macro-lipo,Mye
Macro-lipo,CTSD,Macro-lipo,Mye
Macro-lipo,CD68,Macro-lipo,Mye
Macro-lipo,AC015660.2,Macro-lipo,Mye
Macro-lipo,FPR3,Macro-lipo,Mye
Macro-lipo,MS4A4A,Macro-lipo,Mye
Macro-lipo,AC004988.1,Macro-lipo,Mye
Macro-lipo,PDE6G,Macro-lipo,Mye
Macro-lipo,CCL17,Macro-lipo,Mye
Macro-lipo,HLA-DQB2,Macro-lipo,Mye
Macro-lipo,AMZ1,Macro-lipo,Mye
Macro-lipo,LIPA,Macro-lipo,Mye
Macro-lipo,OTOA,Macro-lipo,Mye
Macro-lipo,CYB561A3,Macro-lipo,Mye
Macro-lipo,STON1-GTF2A1L,Macro-lipo,Mye
Macro-lipo,TMEM138,Macro-lipo,Mye
Macro-lipo,CAPG,Macro-lipo,Mye
Macro-lipo,AC093583.1,Macro-lipo,Mye
Macro-lipo,PLA2G7,Macro-lipo,Mye
Macro-lipo,ADAMDEC1,Macro-lipo,Mye
Macro-lipo,AC114296.1,Macro-lipo,Mye
Macro-lipo,FKBP15,Macro-lipo,Mye
Macro-lipo,MEIKIN,Macro-lipo,Mye
Macro-lipo,NCF2,Macro-lipo,Mye
Macro-lipo,GRN,Macro-lipo,Mye
Macro-lipo,HMG20B,Macro-lipo,Mye
Macro-lipo,IFI30,Macro-lipo,Mye
Macro-lipo,AQP9,Macro-lipo,Mye
Macro-lipo,AL596330.1,Macro-lipo,Mye
Macro-lipo,NPL,Macro-lipo,Mye
Macro-lipo,ZMIZ1-AS1,Macro-lipo,Mye
Macro-lipo,HK3,Macro-lipo,Mye
Macro-lipo,LILRB4,Macro-lipo,Mye
Macro-lipo,GSDME,Macro-lipo,Mye
Macro-lipo,OSCAR,Macro-lipo,Mye
Macro-lipo,SLAMF7,Macro-lipo,Mye
Macro-lipo,LINC00520,Macro-lipo,Mye
Macro-lipo,C1QA,Macro-lipo,Mye
Macro-lipo,SDS,Macro-lipo,Mye
Macro-lipo,LGALS3,Macro-lipo,Mye
Macro-lipo,SLC39A11,Macro-lipo,Mye
Macro-lipo,ABHD12,Macro-lipo,Mye
Macro-lipo,AC244090.1,Macro-lipo,Mye
Macro-lipo,TLR8,Macro-lipo,Mye
Macro-lipo,AC068193.1,Macro-lipo,Mye
Macro-lipo,SLC31A1,Macro-lipo,Mye
Macro-lipo,NCF1,Macro-lipo,Mye
Macro-lipo,AC005280.2,Macro-lipo,Mye
Macro-lipo,MRPL44,Macro-lipo,Mye
Macro-lipo,LINC02732,Macro-lipo,Mye
Macro-lipo,CD300C,Macro-lipo,Mye
Macro-lipo,LGALS2,Macro-lipo,Mye
Macro-lipo,TMEM251,Macro-lipo,Mye
Macro-lipo,CALM3,Macro-lipo,Mye
Macro-lipo,CD164,Macro-lipo,Mye
Macro-lipo,CIR1,Macro-lipo,Mye
Macro-lipo,SLC25A48,Macro-lipo,Mye
Macro-lipo,CYBB,Macro-lipo,Mye
Macro-lipo,FAIM,Macro-lipo,Mye
Macro-lipo,TXN,Macro-lipo,Mye
Macro-lipo,ADA2,Macro-lipo,Mye
Macro-lipo,ANKRD1,Macro-lipo,Mye
Macro-lipo,AC104971.3,Macro-lipo,Mye
