cluster,gene,cluster0,celltype
FB3,OLFML3,FB3,Fibro
FB3,TAPBPL,FB3,Fibro
FB3,FN1,FB3,Fibro
FB3,BNC2,FB3,Fibro
FB3,C3,FB3,Fibro
FB3,COL8A1,FB3,Fibro
FB3,CPQ,FB3,Fibro
FB3,ABI3BP,FB3,Fibro
FB3,PKIA,FB3,Fibro
FB3,SPOCK1,FB3,Fibro
FB3,ADAMTSL4,FB3,Fibro
FB3,IFI27L2,FB3,Fibro
FB3,ARL6IP5,FB3,Fibro
FB3,SCG5,FB3,Fibro
FB3,P3H3,FB3,Fibro
FB3,SERPING1,FB3,Fibro
FB3,DOK5,FB3,Fibro
FB3,FUCA2,FB3,Fibro
FB3,C1R,FB3,Fibro
FB3,WDPCP,FB3,Fibro
FB3,EFEMP2,FB3,Fibro
FB3,DYNC1I1,FB3,Fibro
FB3,SCARA3,FB3,Fibro
FB3,LGALS3BP,FB3,Fibro
FB3,KIF21A,FB3,Fibro
FB3,C12orf75,FB3,Fibro
FB3,MIR100HG,FB3,Fibro
FB3,CCDC71L,FB3,Fibro
FB3,DPT,FB3,Fibro
FB3,AHNAK2,FB3,Fibro
FB3,AEBP1,FB3,Fibro
FB3,KAZALD1,FB3,Fibro
FB3,LTBP3,FB3,Fibro
FB3,AGXT,FB3,Fibro
FB3,STEAP1,FB3,Fibro
FB3,CCDC80,FB3,Fibro
FB3,PRELP,FB3,Fibro
FB3,CCN5,FB3,Fibro
FB3,CHID1,FB3,Fibro
FB3,UAP1,FB3,Fibro
FB3,CTSK,FB3,Fibro
FB3,CLEC11A,FB3,Fibro
FB3,FIBIN,FB3,Fibro
FB3,STEAP2,FB3,Fibro
FB3,MICOS10,FB3,Fibro
FB3,HMCN2,FB3,Fibro
FB4,PRG4,FB4,Fibro
FB4,MTSS1,FB4,Fibro
FB4,PARP16,FB4,Fibro
FB4,SLC2A1,FB4,Fibro
FB4,SERPINB2,FB4,Fibro
FB4,CEP152,FB4,Fibro
FB4,MFAP5,FB4,Fibro
FB4,SLC22A3,FB4,Fibro
FB4,RSAD2,FB4,Fibro
FB4,CRLF1,FB4,Fibro
FB4,PKDCC,FB4,Fibro
FB4,AKR1C2,FB4,Fibro
FB4,CCN3,FB4,Fibro
FB4,ADGRD1,FB4,Fibro
FB4,AKR1C1,FB4,Fibro
FB4,UAP1,FB4,Fibro
FB4,FOXD1,FB4,Fibro
FB4,AADAC,FB4,Fibro
FB4,CYP1B1,FB4,Fibro
FB4,PTX3,FB4,Fibro
FB4,ALKAL2,FB4,Fibro
FB4,C7,FB4,Fibro
FB4,EIF1B,FB4,Fibro
FB4,ITGBL1,FB4,Fibro
FB4,HAS1,FB4,Fibro
FB4,SEC62,FB4,Fibro
FB4,NUMBL,FB4,Fibro
FB4,ETNK1,FB4,Fibro
FB4,FIBIN,FB4,Fibro
FB4,MAP4K5,FB4,Fibro
FB4,FBN1,FB4,Fibro
FB4,IL33,FB4,Fibro
FB4,DGKH,FB4,Fibro
FB4,PTRH2,FB4,Fibro
FB4,CD55,FB4,Fibro
FB4,CCBE1,FB4,Fibro
FB4,MYOM2,FB4,Fibro
FB4,MSC,FB4,Fibro
FB4,ZFP36L1,FB4,Fibro
FB4,IGFBP6,FB4,Fibro
FB4,JAM3,FB4,Fibro
FB4,MED27,FB4,Fibro
FB4,MESD,FB4,Fibro
FB4,AC002456.1,FB4,Fibro
FB4,DNAJB9,FB4,Fibro
FB4,PTGR1,FB4,Fibro
FB4,COPS8,FB4,Fibro
FB4,LAPTM4A,FB4,Fibro
FB4,DOK5,FB4,Fibro
FB4,DNER,FB4,Fibro
FB4,ABI3BP,FB4,Fibro
FB4,FAM153CP,FB4,Fibro
FB4,TLNRD1,FB4,Fibro
FB4,S1PR2,FB4,Fibro
FB4,NOTCH2,FB4,Fibro
FB4,CDH11,FB4,Fibro
FB4,TNNT3,FB4,Fibro
FB4,UGDH,FB4,Fibro
FB4,FAS,FB4,Fibro
FB4,HSD17B7,FB4,Fibro
FB4,RAN,FB4,Fibro
FB4,LTBP4,FB4,Fibro
FB4,LARP6,FB4,Fibro
FB4,RELT,FB4,Fibro
FB4,ECM1,FB4,Fibro
FB4,SLC35F2,FB4,Fibro
FB4,HELLPAR,FB4,Fibro
FB4,PRDX6,FB4,Fibro
FB4,WNT9A,FB4,Fibro
FB4,ENC1,FB4,Fibro
FB4,FGF2,FB4,Fibro
FB4,SLC29A1,FB4,Fibro
FB4,LTBP2,FB4,Fibro
FB4,RPL22L1,FB4,Fibro
FB4,SFRP4,FB4,Fibro
FB4,RIOK1,FB4,Fibro
FB4,PGM3,FB4,Fibro
FB4,PTGES,FB4,Fibro
FB4,FMNL2,FB4,Fibro
FB4,TMEM38B,FB4,Fibro
FB4,LRRC59,FB4,Fibro
FB4,PID1,FB4,Fibro
FB4,GSTO1,FB4,Fibro
FB4,RDH10,FB4,Fibro
FB4,SPOCK1,FB4,Fibro
FB4,ADH1B,FB4,Fibro
FB4,DRAM1,FB4,Fibro
FB4,CNBP,FB4,Fibro
FB4,LYRM4,FB4,Fibro
FB4,PNPLA8,FB4,Fibro
FB4,GART,FB4,Fibro
FB4,RAB7A,FB4,Fibro
FB4,PIGV,FB4,Fibro
FB4,MN1,FB4,Fibro
FB4,TPBG,FB4,Fibro
FB4,TRIML2,FB4,Fibro
FB4,CHRDL1,FB4,Fibro
FB4,SDF2L1,FB4,Fibro
FB4,FLRT2,FB4,Fibro
FB4,ABCC1,FB4,Fibro
