Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5
ACTN1,MALL,CDH13,MMRN2
LPAR6,CYB5R3,IGF1,CD200
HLA-DRB1,MGLL,TUBA1A,UACA
SOX17,UTRN,HLA-E,SGK1
SPARC,ASS1,KDR,CD81
RAB11A,PTP4A3,ITM2B,LY6H
PLSCR1,KLF4,UBE2C,TNFRSF10D
TMEM255B,LAP3,SOX18,ITGA5
CD320,TGFBR2,RASGRP3,GPIHBP1
CNN3,CFH,LMO2,HECW2
APP,HLA-E,COLEC12,FZD4
CNKSR3,PLLP,ARL6IP1,PIK3R3
TGFBR3,RCAN1,SOX4,GNAI2
NOSTRIN,ABL2,MYL12B,MLEC
ERG,NEDD9,CD320,VIM
STOM,ACE,S100A16,HEG1
PKP4,TMEM100,TYMS,WWTR1
RALGAPA2,RAMP3,ANXA5,PDK4
TNFRSF1A,PDLIM1,PTMS,TM4SF1
CCDC85B,PREX2,PROCR,DLC1
PRSS23,FBLN2,ARL4A,CDC37
TINAGL1,GABARAPL2,ADAMTS1,BST2
TSPAN4,TACC1,GJA1,ADAMTS1
PVRL2,RAPGEF5,SPRY1,NRP2
TSHZ2,NES,RNASE1,KIAA1462
ANGPT2,MEF2C,PGM5,ADAM15
NFIB,PPA1,EDN1,CD300LG
ITM2A,CD320,KLF2,NFIB
NUAK1,SPARC,SNCA,PTPRB
CDC37,ADAMTS9,TSPAN5,RASGRP3
RCN1,HBEGF,SEPN1,GAS6
SLC29A1,GNAI2,TRIOBP,DOCK9
RHOJ,APOLD1,CFI,CDH13
SHC1,ACVRL1,MKI67,AFAP1L1
FZD4,YBX3,HOXD8,CD320
CMIP,OCIAD2,TSHZ2,F2RL3
EVA1C,HES1,IGFBP4,APLP2
SMAD1,SEC14L1,CD81,CAV2
GJA1,CLIC4,ADIRF,PDLIM1
C7,CDC37,CENPF,PLK2
CPXM2,FN1,GPM6A,SEPW1
HAPLN3,ATP1A1,ACTN1,NEDD9
MYCT1,BMPR2,MRC1,CNN3
SWAP70,CRYBG3,FAM213A,PVRL2
TIE1,VAMP5,EHD2,PCDH12
IL1R1,DOCK9,OAF,MYCT1
TM4SF18,ARGLU1,HSP90B1,ERG
GUK1,ITGA5,APLP2,GJA4
KCTD12,EFNA1,MPP7,IL3RA
RASA4,NOV,MACF1,ADM
DLC1,TGM2,FDPS,EFNA1
SLC2A3,TMEM204,F8,EFNB2
PCDH17,LPAR6,RPS6KA2,DOCK6
RAI14,TNFRSF10D,ADM,MAGI1
SERPINH1,WARS,CTGF,ACVRL1
PCAT19,GFOD1,KIF1C,CD59
FLOT1,CD81,GNAI2,SYNPO
ITGA5,ATP5J,DUSP6,TJP1
MKL2,FCN3,PKHD1L1,EDNRB
ECE1,PNP,SEMA3D,BCL6B
LPCAT4,ADAMTS6,TIMP2,SH3BP5
FAM107A,MMP2,GNAS,CTNNB1
TCN2,ERG,NR2F1,SEC14L1
INPP1,MRPL33,NT5E,PNP
NPC2,GIMAP4,WWTR1,GIMAP7
MYH9,GNAS,CNIH4,HBEGF
TLL1,CD151,ACVRL1,SPRY4
PIK3R3,COL15A1,POLR2L,YWHAH
SERPINE1,MRPL17,DLC1,RHOC
UGCG,CAPZA2,NUDT4,NID1
LEPROT,SSFA2,TPM4,C8orf4
PPIC,SULF2,RELN,PDGFB
MEOX1,LEPROT,ICAM2,HTRA1
EHD4,CDH13,C16orf62,HLA-E
PREX2,DDIT4,FLT1,ARHGEF15
ROBO4,MAP4,NFIA,MMP2
ICAM2,AIF1L,FCGRT,MT1M
FSCN1,LPCAT2,SEMA3A,IFITM2
BMPR2,POMP,SDCBP,MSN
ABCD4,GUCY1A3,IFI27,NOSTRIN
SPNS2,TSPAN7,FHL1,ITGB1
ENPP2,ACTN4,REEP3,ANGPT2
CAV2,ANXA3,LAYN,MCTP1
CYTL1,GPIHBP1,TMEM255B,DYSF
TACC1,IFI6,PRKCDBP,ECE1
THSD7A,C9orf3,DAD1,CLIC4
CLDN15,ECE1,RHOC,SWAP70
KANK3,TNFRSF4,IPO11,TNS2
TMEM88,HOXD9,TMEM109,SNAI1
NUCB1,NRP1,SLC7A1,GRB10
LAMA5,HSPA12B,NID1,FAM198B
HLA-DMA,FABP5,PCAT19,ITGA1
ATP1A1,FILIP1,MARCKSL1,ZEB1
C10orf128,TCN2,PMP22,LXN
CLIC2,CXorf36,AKR1C1,MYH9
PLXND1,ITGB1,PGM2L1,LHFP
FBLN2,PKIG,TACC1,HOXD9
IL6ST,EMP2,RP11-322E11.5,LUZP1
SDCBP,LIMA1,APLNR,PLCB1
NR2F2,WWTR1,ETS2,PTPRM
FAM198B,CTNNB1,TNFAIP1,ITM2B
CD151,TJP1,LOX,PTPRG
RAPGEF3,ANGPT2,MAP1B,FILIP1
MEOX2,TMEM88,EPHB4,ITM2A
ANKRD29,RAC1,PLXND1,CYB5R3
C4orf32,SHE,ID3,CA4
RBPMS,RALB,VAT1,HDAC7
VCAM1,CLDN15,CCDC50,FCGRT
EHD2,GAS6,BCAR1,LIMS2
DOC2B,GIMAP1,NFIB,SOX7
ASAP1,PLK2,KLF10,LEPROT
PRKCDBP,NUAK1,WFS1,MAP1B
ITGB4,MYL12B,ERG,RAPGEF5
CYB5R3,NFIB,NUSAP1,ANGPTL2
KLF7,IFNGR1,DPYSL3,RBPMS
C1orf54,IFI44L,ACKR2,S100A16
RGS16,CDC42BPA,SOCS2,MCF2L
ACVRL1,SOS1,CLIC2,SLC29A1
PDLIM5,CLIC5,COX7A1,CALM1
DUSP6,ZEB1,ADAM10,LAMC1
CCDC50,MCAM,PXDC1,XIST
TRIOBP,SULF1,KIAA1462,ETS1
GPR146,KIAA0355,EDNRB,TNFAIP8L1
MYO1E,FEZ2,PEPD,RAI14
RND1,MYH9,AFAP1L1,CXCL12
ARHGEF15,ELK3,,KLF2
CEBPD,NOTCH1,,PPFIBP1
TXNIP,SOCS2,,RHOB
CTNNAL1,MAP3K11,,DDIT4
ABL2,EHD2,,SHANK3
S100A16,ITGA6,,SEC62
NRP2,PLXND1,,PICALM
PLEKHG1,CLEC3B,,TGM2
MEF2C,TXNIP,,JAM2
GNAI2,VWA1,,ASAP1
S100A10,YWHAH,,JUP
TUBB6,HECW2,,ADAMTS4
PXN,ATP13A3,,RASIP1
HLA-DRA,LUZP1,,ENPP2
RASIP1,PTTG1IP,,SULF2
CTSH,GATA2,,THSD7A
SEPN1,TMEM47,,GJA1
YPEL2,TNFSF10,,TINAGL1
PMP22,ITM2B,,GPR146
TJP1,DUSP6,,PEA15
LHX6,FLOT1,,GALNT18
SULF2,LMO2,,LMO2
CST3,CFAP36,,TACC1
ABLIM1,MGST3,,CASKIN2
UPP1,RCN1,,IPO11
SASH1,ADD1,,CLEC3B
CRIM1,RASIP1,,SOCS2
PTPRM,GPRC5B,,PREX2
TNS2,SSUH2,,NDST1
XIST,ETS2,,GRAMD1A
MET,SPTAN1,,BMPR2
IPO11,TINAGL1,,MALL
SNTB2,SNX3,,SCARF1
ENTPD1,TAGLN2,,EXOC3L1
GNAQ,CD200,,FAM43A
VCAN,PDLIM5,,TSPAN15
PNP,TNS2,,PKIG
FEZ2,GPR146,,SNX3
MYC,PIK3C2B,,CARHSP1
LMNA,MET,,NDRG1
KLF2,SYNE2,,RGS16
MAP3K11,MSX1,,NAV1
SOX18,BCAP29,,RAPGEF3
MATN2,TMEM255B,,PPARG
RAB3C,CPNE8,,CDA
FRY,GALNT18,,GPR4
SEC14L1,TUSC3,,COX7A1
BST2,ROBO4,,RCN1
FAM213A,PTPN14,,CD40
IFI16,MSN,,UTRN
LAP3,EID1,,CYTL1
PIM3,EFCAB14,,ASS1
FLNB,ITSN2,,NOTCH1
EPHB4,COX7A1,,CFAP20
TSPAN12,FLNB,,KLF4
DNASE1L3,TSPAN2,,UPP1
GALNT18,CYSTM1,,RASAL2
PTTG1IP,SERPINB6,,FLT4
TMTC1,XAF1,,JAG2
SEMA6A,MYO10,,PCAT19
SYNE2,FRYL,,MIDN
DPYSL2,CX3CL1,,UBE2J1
CD40,CTTNBP2NL,,FAM101B
TEK,RBPMS,,ITPRIP
MMRN1,TEK,,PRMT1
TMEM204,CFI,,FLOT1
DAAM1,ASRGL1,,MAP4K4
PIK3C2A,LIMCH1,,ABL2
SPHK1,AES,,MAP3K11
ANXA2,HHEX,,HEY1
CSF2RB,FDPS,,GNAS
RDX,NUDT14,,ADGRG1
RP11-536O18.1,IGFBP4,,TRIOBP
PODXL,MYO1E,,SH2D3C
DOCK9,CRIM1,,NAA38
PARVB,PCMTD1,,TNFAIP1
CYP1B1,MAPK3,,MARCKSL1
GFOD1,PLCB1,,THY1
S100A13,PTPRG,,RHOJ
MSN,RPS6KA2,,ACTN4
RPS6KA2,NCKAP1,,MACF1
VAT1,LAMA4,,KIFC3
PPFIBP1,ANKRD29,,CTNND1
,CD300LG,,EID1
,GIMAP6,,PTPRK
,SIPA1L2,,PHACTR2
,CTNNA1,,YBX3
,MIDN,,PLEKHG1
,KIAA1462,,MGST3
,SERPINH1,,SLC2A3
,ELN,,SEMA3F
,BMX,,NGFRAP1
,SERPINE2,,TSPAN7
,PCDH17,,SOX4
,SGK1,,IFITM1
,PPARG,,RAC1
,HES4,,RCAN1
,ISG15,,ADAMTS7
,SOX7,,PPM1F
,COL18A1,,PLS3
,AP1S2,,PKP4
,FKBP9,,MYO1E
,XIST,,DPYSL2
,PLCG2,,KIAA0355
,MOB2,,MYO10
,TMEM109,,WASF2
,PIK3C2A,,GABRD
,OAZ2,,
,GBP4,,
,NAA38,,
,RBKS,,
,HOXD8,,
,EVA1C,,
,LEPR,,
,CYR61,,
,TM4SF18,,
,ATP1B3,,
,FBLIM1,,
,DOCK6,,
,HSD17B12,,
,MAGI1,,
,NNMT,,
,IPO11,,
,PDK4,,
,APLP2,,
,UBE2J1,,
,CDKN1A,,
,UNC5B,,
,TMEM173,,
,GNAQ,,
,PVRL2,,
,PLPP3,,
,EPHA4,,
,ARHGAP31,,
,PARVB,,
,TMEM178A,,
,LRP6,,
,S100A16,,
,PCAT19,,
,PTPN12,,
,RAPGEF3,,
,FZD4,,
,PLXNA2,,
,HLA-B,,
,PICALM,,
,F8,,
,ARHGEF15,,
,CEP68,,
,HDAC7,,
,KANK3,,
,MEF2A,,
,LAMA5,,
,KCNJ2,,
,LTC4S,,
,C8orf4,,
,PKN3,,
,FES,,
,ARL2,,
,PDGFB,,
,NDRG1,,
,RASGRP3,,
,ITGA1,,
,DST,,
,SYNJ2,,
,PGRMC2,,
,CCDC3,,
,PPFIBP1,,
,PLEC,,
,FGD5,,
