CAFs MSC iCAF like s1,CAFs MSC iCAF like s2,CAFs myCAF like s4,CAFs myCAF like s5,CAFs Transitioning s3
APOD,APOD,COL3A1,COL1A1,SFRP2
DCN,CCL19,COL1A1,COL1A2,LUM
CFD,DCN,COL1A2,COL3A1,COL3A1
PTGDS,PTGDS,COL6A2,SFRP2,COL1A2
LUM,CXCL12,TIMP1,LUM,COL1A1
C3,LUM,POSTN,POSTN,DCN
SFRP2,TIMP1,LUM,CTHRC1,MMP11
C1S,COL6A2,APOD,MMP11,CTHRC1
CXCL14,C1S,BGN,FN1,SFRP4
CCDC80,COL3A1,COL6A1,SPARC,CCDC80
CXCL12,MEG3,SPARC,COL6A3,CXCL14
MFAP4,RARRES2,MMP11,DCN,POSTN
FBLN1,IGF1,DCN,CTGF,CTGF
SFRP4,CYR61,FN1,BGN,COL6A3
GSN,CXCL9,THY1,AEBP1,CTSK
CTSK,SERPING1,COL6A3,COL6A1,C1S
SERPINF1,EGR1,PCOLCE,VCAN,MMP2
C1R,COL6A1,IGF1,COL6A2,COL6A2
RARRES2,CTSK,SFRP2,COL5A2,APOD
IGF2,GEM,CXCL10,RARRES2,AEBP1
IGFBP6,BGN,CTHRC1,CTSK,COL6A1
CTGF,SERPINF1,LGALS1,CCDC80,SPARC
MMP2,COL1A2,COL5A2,MMP2,RARRES2
CYR61,ISLR,CALD1,ASPN,BGN
SERPING1,PCOLCE,AEBP1,MFAP2,SERPINF1
IGFBP4,SRPX,SERPINF1,TIMP1,TIMP1
COL6A2,RASD1,COL18A1,SFRP4,FBLN1
MEG3,CTGF,COL4A1,CXCL14,MXRA8
IGF1,COL1A1,RARRES2,COL5A1,FN1
COL6A3,IGF2,CTSK,COL12A1,C1R
SRPX,C1R,SPON2,THY1,CYR61
MXRA8,CALD1,MEG3,MXRA8,VCAN
ADH1B,IGFBP4,VCAN,TIMP3,COL5A2
PDGFRL,GSN,C1S,ISLR,ISLR
COL1A2,COL6A3,SERPING1,THBS2,C3
ISLR,SPON2,C1R,C1S,GSN
LRP1,TNFAIP6,ISLR,SERPINF1,MFAP4
EGR1,CFD,IGFBP7,CALD1,IGF2
DPT,LGALS1,TNFAIP6,COMP,HTRA1
EFEMP1,PLPP3,COL4A2,LGALS1,IGFBP4
AEBP1,TMEM176B,COL5A1,CST1,ASPN
COL3A1,SFRP2,CXCL9,FBLN1,SPON2
PCOLCE,MXRA8,FSTL1,COL10A1,MFAP2
SOD3,MFAP4,CD63,CYR61,SERPING1
TIMP1,CCL2,MXRA8,MXRA5,THY1
COL6A1,MMP2,OLFML3,COL8A1,PCOLCE
FGF7,FOS,IGFBP4,SPON2,COL14A1
COL14A1,ITM2A,PDGFRB,FSTL1,IGFBP6
FBLN5,FBLN1,CTGF,COL11A1,FBLN2
PLPP3,LAPTM4A,MFAP2,PCOLCE,IGF1
SPON2,THY1,MMP14,CILP,EFEMP1
NNMT,LRP1,PRSS23,MMP14,FSTL1
OLFML3,FGF7,LAPTM4A,HTRA1,MEG3
GPC3,C3,CXCL12,IGFBP4,DPT
PI16,CYP1B1,SERPINH1,SULF1,THBS2
COL1A1,TMEM176A,LGALS3BP,FBN1,CFD
TMEM176B,OLFML3,IFITM3,TAGLN,COL5A1
CTHRC1,FIGF,MMP2,PPIC,CXCL12
RASD1,SEPP1,TIMP2,PALLD,PTGDS
GPNMB,PLXDC1,DPT,TIMP2,CALD1
PMP22,LHFP,CD81,FBLN2,MFAP5
LHFP,AEBP1,MXRA5,C1R,NNMT
GEM,MAFB,PRRX1,COL14A1,PPIC
HTRA1,SPARC,HTRA3,HTRA3,TIMP2
FXYD1,CXCL14,RCN3,INHBA,LGALS1
FBLN2,NNMT,EGFL6,MFAP5,PDGFRL
MAFB,CCDC80,NNMT,DPT,LRP1
SEPP1,PRRX1,TIMP3,SERPINH1,IGFBP7
OGN,MT2A,NREP,IGF1,COL12A1
CFH,IFITM3,PPIC,NNMT,MMP14
LAPTM4A,RGS16,TPM2,CDH11,MXRA5
TMEM176A,FXYD1,ASPN,PRSS23,OLFML3
VCAN,VCAN,CLEC11A,SERPING1,MDK
TIMP2,SERPINE1,CFH,MFAP4,ELN
MGP,CD63,EFEMP2,FAP,COL10A1
PODN,POSTN,PLXDC1,MEG3,PMP22
BGN,COL5A2,PTGDS,CLEC11A,HTRA3
FSTL1,IGFBP6,CCDC80,IGF2,CFH
NR2F1,CPE,CXCL14,NBL1,FBN1
ABCA8,PDGFRB,ADAM12,CERCAM,GEM
TNXB,IGFBP7,LHFP,RCN3,CLEC11A
PLTP,MDK,SULF1,ANTXR1,NBL1
PLAC9,FN1,GPM6B,IGFBP7,PRRX1
CALD1,DLK1,OLFML2B,LRP1,CD63
TIMP3,CRISPLD2,UACA,ADAM12,PODN
ABCA6,CD248,ITM2A,MDK,CDH11
CYP1B1,DPT,CDH11,ELN,EFEMP2
CD63,PMP22,MDK,NREP,LAPTM4A
C7,TCF4,TCF4,TPM1,FAP
PRRX1,LGALS3BP,COL12A1,CD99,ID3
PRELP,CTHRC1,GEM,EFEMP2,CYP1B1
ALDH1A1,GGT5,CD248,ITGBL1,PI16
GPX3,FSTL1,THBS2,LOXL1,COMP
FOS,EFEMP2,SRPX,TNFAIP6,LGALS3BP
WISP2,F2R,IFI6,CALU,PALLD
THBS2,NR4A1,TMEM176B,PRRX1,SRPX
CRISPLD2,GADD45B,CPE,TPM2,CD99
CPE,HSPA1A,IGFBP6,MYL9,PLAC9
TCF4,SOD3,LAMA4,SDC1,WISP2
ITM2A,CFH,PALLD,OLFML3,TIMP3
