Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumA SC,Cancer LumB SC
GDI2,LSM5,DSTN,CRACR2B,UGDH
HDLBP,RPS17,GPX4,NAT1,CNOT7
STMN1,ZWINT,MTA1,RAB25,SUPT4H1
CALU,TOMM40,CTNNBIP1,LMNA,CCDC117
RPL37A,RP11-206M11.7,SEPP1,MUCL1,NME3
TUBB,SLPI,MAL2,SOX9,ACADSB
KRT8,ASPH,PDZK1IP1,TOB1,ATP5I
TRIP6,KDELR2,SPINT1,C1orf64,MMP24-AS1
CENPW,SMC4,PRDX5,MT-ATP8,HACD3
EIF4EBP1,MDK,S100P,SEMA3C,FOXA1
