CD4_c0_Tcm,CD4_c1_Treg,CD4_c2_Tn,CD4_c3_Tfh,CD4_c4_Tstr,CD4_c5_CTL,CD4_c6_Tn_FHIT,CD4_c7_Tn_TCEA3,CD4_c8_Tf17,CD4_c9_Tn_TCF7_SLC40A1,CD4_c10_Tn_LEF1_ANKRD55,CD4_c11_Tisg,CD8_c0_t-Teff,CD8_c1_Tex,CD8_c2_Teff,CD8_c3_Tn,CD8_c4_Tstr,CD8_c5_Tisg,CD8_c6_Tcm,CD8_c7_p-Tex,CD8_c8_Teff_KLRG1,CD8_c9_Tsen,CD8_c10_Teff_CD244,CD8_c11_Teff_SEMA4A,CD8_c12_Trm,CD8_c13_Tn_TCF7,MAIT_c2,MAIT-like_c1,NKT_c0_FCGR3A_GZMB,NKT_c4,Tgd_c3
FKBP11,STAM,,TNFRSF4,UBC,ANXA2,ATM,BIN2,CCL4,ABLIM1,KLF2,CMPK2,ZNF331,KIR2DL4,PRF1,LDLRAP1,JUN,GBP1,CMSS1,GIMAP4,PLAC8,,MATK,CCR5,TSC22D3,SORL1,CCR6,ZFP36,TMSB10,GNLY,ATP5MC3
PIK3R1,LINC00152,,C9orf16,DNAJB4,CLU,FAM65B,CD48,PDCD4,RIPOR2,MAML2,IFITM1,FAM177A1,HLA-DRA,LGALS1,PABPC1,MRPL18,NT5C3A,EZR,FAIM3,PTGDR,,STOM,FAIM3,MGEA5,FAM65B,CXCR6,BTG1,LINC00152,RGS1,ITGAM
CD55,DNPH1,,LAT,RGS2,S100A6,TMIGD2,GPSM3,CLDND1,ITGA6,FLT3LG,RNF213,ANXA1,HLA-DRB1,BIN2,UBA52,RGS2,IFI35,CCR4,ARPC1B,TPST2,,ITGB2,SRPR,TRBC2,NAP1L1,IL23R,RGS2,MYEOV2,TMEM2,ELOB
TSC22D3,IL1R2,,BTLA,CCL4,PRF1,AES,ALKBH7,FKBP4,GLTSCR2,TGFBR2,UBE2L6,MCL1,PRF1,EMP3,SH3YL1,IFNG,IFI16,CD5,SH2D1A,FYB1,,PPP1R18,C1orf63,RBMS1,NOSIP,JAML,CD69,POLR2J3,SLA2,TRIR
FAM177A1,DUSP4,,CPM,IFNG,C12orf75,ATP5O,ATM,LGALS1,TMEM123,GIMAP7,TRIM22,UBE2S,CD7,CD300A,C1orf162,AHSA1,OASL,NFATC2,GIMAP5,MATK,,CD97,SLC20A1,ANKRD28,CD48,CAMK4,FOSB,ATP5J2,NPIPB5,ATP5F1B
AREG,GBP2,,GK,RHOB,LCP1,KLF3,FBL,AHR,ACTN1,LDHB,OAS2,METRNL,SIRPG,TTC16,EIF3L,ATF3,OAS2,PPP1R14B,PPP1CA,RASSF1,,POLD4,CD27,HNRNPL,LDHB,TNFAIP3,SPOCK2,CEP78,LAG3,ATP5IF1
TOB1,HLA-DRB1,,GAPDH,MRPL18,ITGB2,UQCRB,SH3BP5,TNFRSF18,ARHGAP15,AIF1,PLSCR1,KLF6,CD27,KLF3,NACA,NEU1,PARP14,FYN,PPP1R18,ATP5MF,,LCP2,TAPSAR1,IKZF1,EEF2,LST1,GLTSCR2,ATP5I,KIR2DS4,TPST2
ARL4C,LAIR2,,TNFRSF18,DNAJA4,CXCR3,KLF2,CDC25B,TANK,CISH,SELENOH,TNFSF10,BTG2,CTSD,TTC38,NPM1,ANKRD37,CXCL13,EOMES,CADM1,SYNE1,,GIMAP5,TUBB4B,GNAS,ARHGAP45,S100B,JUNB,C9ORF142,AOAH,TTC38
ANXA2,RGS1,,NME1-NME2,BTG2,ITGB1,UBA52,EIF2S3,CACYBP,EEF1B2,TRAF3IP3,IFI16,REL,GALNT2,MATK,KLF2,TCP1,PARP9,AOAH,MYL6B,ATP5IF1,,EOMES,CHI3L2,AIM1,SATB1,ERN1,ZFP36L2,CCL4L2,CD97,CD300A
FOSB,PIM2,,GPX1,CHORDC1,CYBA,MYC,ACTN1,ZEB2,ARHGAP45,ABLIM1,PARP14,TSC22D3,GEM,ADRB2,SPINT2,TNFSF14,TRIM22,TGIF1,SASH3,ELOB,,GZMM,MYADM,CD81,C19ORF43,ZBTB16,RGS1,ATP5O,HAVCR2,PXN
