cluster,gene,avg_logFC,p_val,p_val_adj,pct.1,pct.2,celltype,avg_strength
CD4_c1_Treg,BATF,1.11116262347763,0,0,0.671,0.286,T,1.11116262347763
CD4_c1_Treg,CTLA4,1.06379400578068,0,0,0.586,0.173,T,1.06379400578068
CD4_c1_Treg,RTKN2,1.04962941830191,0,0,0.364,0.028,T,1.04962941830191
CD4_c1_Treg,IL32,1.01554197626112,0,0,0.96,0.787,T,1.01554197626112
CD4_c1_Treg,PMAIP1,0.966033479774082,0,0,0.466,0.136,T,0.966033479774082
CD4_c1_Treg,SAT1,0.965387382449786,0,0,0.77,0.516,T,0.965387382449786
CD4_c1_Treg,CTSC,0.957214830569987,0,0,0.571,0.245,T,0.957214830569987
CD4_c1_Treg,TNFRSF9,0.954655544922988,0,0,0.303,0.031,T,0.954655544922988
CD4_c1_Treg,TBC1D4,0.930446555430505,0,0,0.49,0.126,T,0.930446555430505
CD4_c1_Treg,MAGEH1,0.924905634830292,0,0,0.351,0.091,T,0.924905634830292
CD4_c1_Treg,IKZF2,0.917567216128627,0,0,0.348,0.019,T,0.917567216128627
CD4_c1_Treg,TNFRSF1B,0.89810177733321,0,0,0.57,0.25,T,0.89810177733321
CD4_c1_Treg,LAYN,0.888980332629122,0,0,0.281,0.016,T,0.888980332629122
CD4_c1_Treg,CD74,0.853250191157084,0,0,0.864,0.626,T,0.853250191157084
CD4_c1_Treg,HTATIP2,0.810471752814862,0,0,0.378,0.134,T,0.810471752814862
CD4_c1_Treg,CD27,0.789377784604365,0,0,0.661,0.295,T,0.789377784604365
CD4_c1_Treg,GBP5,0.780423114634894,0,0,0.46,0.158,T,0.780423114634894
CD4_c1_Treg,GK,0.755763965669122,0,0,0.331,0.087,T,0.755763965669122
CD4_c1_Treg,CD7,0.735426654691278,0,0,0.754,0.539,T,0.735426654691278
CD4_c1_Treg,IL2RB,0.733934333902421,0,0,0.451,0.163,T,0.733934333902421
CD4_c1_Treg,STAM,0.731321151829498,0,0,0.366,0.079,T,0.731321151829498
CD4_c1_Treg,LINC00152,0.711922989368605,0,0,0.338,0.122,T,0.711922989368605
CD4_c1_Treg,DNPH1,0.711637543351518,0,0,0.465,0.18,T,0.711637543351518
CD4_c1_Treg,IL1R2,0.710609112440392,0,0,0.2,0.007,T,0.710609112440392
CD4_c1_Treg,DUSP4,0.692861017621178,0,0,0.513,0.223,T,0.692861017621178
CD4_c1_Treg,GBP2,0.691554113991013,0,0,0.51,0.228,T,0.691554113991013
CD4_c1_Treg,HLA-DRB1,0.691067067119978,0,0,0.45,0.201,T,0.691067067119978
CD4_c1_Treg,LAIR2,0.686485063612627,0,0,0.21,0.026,T,0.686485063612627
CD4_c1_Treg,RGS1,0.662203236298273,0,0,0.702,0.385,T,0.662203236298273
CD4_c1_Treg,PIM2,0.649773304112957,0,0,0.499,0.265,T,0.649773304112957
CD4_c1_Treg,MIR4435-1HG,0.642620102455573,0,0,0.15,0.034,T,0.642620102455573
CD4_c1_Treg,GLRX,0.64150434752729,0,0,0.447,0.204,T,0.64150434752729
CD4_c1_Treg,HPGD,0.633615092443143,0,0,0.164,0.027,T,0.633615092443143
CD4_c1_Treg,HLA-A,0.629339840006537,0,0,0.924,0.874,T,0.629339840006537
CD4_c1_Treg,ICA1,0.627636422974333,0,0,0.259,0.061,T,0.627636422974333
CD4_c1_Treg,ICOS,0.623085029926604,0,0,0.512,0.255,T,0.623085029926604
CD4_c1_Treg,UGP2,0.577676349336334,0,0,0.492,0.265,T,0.577676349336334
CD4_c1_Treg,ENTPD1,0.573081726679677,0,0,0.245,0.049,T,0.573081726679677
CD4_c1_Treg,GADD45A,0.56854211158160906,0,0,0.276,0.101,T,0.56854211158160906
CD4_c1_Treg,UCP2,0.568197545841961,0,0,0.598,0.395,T,0.568197545841961
CD4_c1_Treg,NAMPT,0.56336608330853,0,0,0.367,0.162,T,0.56336608330853
CD4_c1_Treg,IFI6,0.560841720441715,0,0,0.346,0.159,T,0.560841720441715
CD4_c1_Treg,CCR8,0.553895562707426,0,0,0.177,0.01,T,0.553895562707426
CD4_c1_Treg,ARID5B,0.548555261273674,0,0,0.621,0.363,T,0.548555261273674
CD4_c2_Tn,NBEAL1,0.463190641590811,3.80410044860998e-99,2.98077898851732e-94,0.444,0.437,T,0.463190641590811
