LASP1,LASP2,LASP3,LASP4,LASP5,LHS1,LHS2,LHS3,BMYO1,BMYO2,FB1,FB2,FB3,FB4,PV1,PV2,PV3,PV4,PV5,VEV,VEC,VEA,VEAT,LE1,LE2,CD4_naive,CD4_Th,CD8_Tem,CD8_Trm,CD8_Tc1,NKT,NK,ILC,B_naive,B_mem_switched,B_mem_unswitched,Plasma_cell,Macro,Macro-lipo,DC
CYP24A1,VNN1,RPLP0,AP000851.1,BUB1,SLC44A4,MYB,PDZK1,TMEM178A,SLMAP,FMO1,WNT2,RORB,CCN3,LIN7A,RBM24,PLN,PCDH9,PLCL1,ELOVL7,LRG1,VEGFC,MCF2L,PPFIBP1,ADGRG3,AP000787.1,CTLA4,LINC01934,TRGV10,AC007278.1,KLRG1,CLIC3,TNFRSF18,CD72,LINC00926,SHISA8,IGHV3-30,CD80,TMEM163,CD86
S100A8,TPT1-AS1,PGBD5,TTYH1,CDCA3,RASEF,XBP1,PIP,ABCC3,AMIGO2,PLXDC1,RSPO3,CHL1,ADGRD1,GJC1,ALG13,MUSTN1,LINC01197,NDUFA4L2,TNFRSF6B,RBP7,IGFBP3,SEC14L1,TCFL5,PKHD1L1,MRPL1,RGS14,AC243829.4,GZMH,AC026979.2,GZMB,XCL2,SH2D1B,BTLA,CD79A,CD70,JSRP1,ACSL1,ACP5,SERPINB1
LINC00511,LIPH,SLC6A14,MAP2K6,PBK,SCCPDH,TTC6,SCGB1B2P,SH2D5,FGFR2,LAMA2,TWIST2,AC074387.1,AKR1C1,ADCYAP1R1,RASD2,SGCA,DES,EPB41L1,MED24,AC064836.3,ICAM2,PXDN,PLA1A,MRC1,PHTF2,TRAT1,PYHIN1,UBASH3A,IL2,GNLY,MATK,SLC4A10,VPREB3,LINC00426,SYNGR2,IGLC1,MIR3945HG,HTRA4,AC020656.1
ASS1,NNT,RPL12,CSN1S1,NUF2,BCAS4,SPDEF,AC100801.1,KRT14,NT5DC3,OMD,NMB,TCEAL2,UAP1,NCK2,LRRC10B,PTP4A3,DMRT3,FRMD3,ASPH,LIPE,TSPAN2,EFNB1,STK32B,PROX1,PASK,TTC39C,BICDL1,NELL2,SCML4,YPEL1,KIR2DL4,TXK,FAM30A,PAX5,KLK1,IGLC2,SLC1A3,MMP9,LILRA5
MUC16,SPOCD1,RAP2B,S100B,UBE2C,DNAH5,BAMBI,NEK10,OXTR,SH3BGR,PI16,FHAD1,PCOLCE2,FOXD1,GCNA,CYCS,RBPMS2,ANGPTL1,TMEM74B,SLCO4A1,NSUN6,GABARAPL2,SHANK3,TMEM120A,ART4,NR3C1,UBASH3A,TNFRSF9,SNAI3,ICOS,PRF1,CD244,TNFSF11,MS4A1,LINC02397,PHF6,IGLC3,GM2A,CLEC12A,HLA-DPB1
CCDC9B,RNF114,RPS28,CITED4,TTK,SPINK1,ALB,SCGB3A1,IL17RD,ANKRD1,MMP16,SH3PXD2B,SERPINF1,AADAC,GLIS2,PPARGC1A,MYOM1,PLPPR4,DPY19L2,FAR2,KIF25,MMP28,SQSTM1,C16orf87,CRTAC1,EML4,RORA,RASGRP1,CD3G,TRGV10,PYHIN1,NCR1,GLB1,ADAM28,BCL11A,ATF5,DERL3,HAVCR2,SNX10,GNG8
SECTM1,HCAR2,MTHFD2L,PIK3C2G,CDK1,TRAFD1,VTCN1,HIGD1A,GALNT10,RASSF6,CD248,BX322234.1,SCRG1,CYP1B1,CYTH3,KCTD20,KLHL23,IGFBP5,PCK1,PCDH1,GPIHBP1,LTC4S,PDCL,NINL,MMRN1,LINC00239,CD5,SAMD3,APBA2,CRTAM,TRDC,KLRD1,CCR4,TNFRSF13C,AIM2,BANK1,IGHM,AIF1,FDX1,HLA-DOB
PROM1,CAST,RPL29,PPP1R1B,KNL1,KCNMA1,TAT-AS1,PBX3,COL8A2,IL1RAP,ABCA6,LIMK1,HS3ST3A1,PTX3,LONRF1,USP37,RCAN2,EDIL3,AC100793.2,MEOX1,TRIM16,ACE,ABLIM2,AZIN2,CCL21,PCNX1,PRKCQ-AS1,A2M-AS1,OXNAD1,AL603756.1,NME8,CEMIP2,LST1,BCL11A,ADAM28,TNFRSF13C,AL139099.1,PLA2G7,ITGB2,ADAM19
VNN3,LRRFIP2,RPL13,DBI,CENPA,AREG,FBP1,SCUBE2,DST,ACTG2,COL3A1,ADPRHL1,ISM1,ALKAL2,EPS8,PRMT9,MAP3K7CL,ARHGAP15,C20orf27,CSF3,NOSTRIN,RPS6KA5,SMAD6,TTN,C1orf143,ZNF831,KIF5C,TRAT1,PRF1,TRAV8-2,B3GAT1,SLFN13,XCL1,SELL,BTLA,CD58,POU2AF1,SLC16A10,DCSTAMP,WDFY4
S100A9,ST6GALNAC5,RPS6,CACYBP,CEP55,CIB1,REEP6,CITED1,ACTG2,MME,ADAM12,MMP12,MMP23B,C7,CYP26B1,ALPK3,WTIP,TGFBI,ABCC9,PDIA5,FAM72A,SRP14,PLVAP,C1orf143,GPM6A,MALT1,PDE4D,CD27,SCML4,AF305872.2,FCGR3A,NKG7,NCR3,P2RX5,CXCR5,CD22,SSR4,AC005083.1,SMIM25,TVP23A
MARCO,TCN1,PDZK1IP1,UBB,HMMR,SERHL2,DIO2,HMGCS2,FBXO2,CSTA,IGSF10,TNFAIP6,EPHB2,EIF1B,IL1RL1,IL24,FBXL13,GUCY1A2,LZTS1,ZNF385D,ELOVL3,SNHG11,TMEM255B,NARF,EFCC1,SARAF,TRABD2A,AKNA,IL2RB,LINC00892,SAMD3,EOMES,CSF2,BANK1,FCER2,CIITA,TXNDC5,PILRA,ATP1A4,C1orf162
PLEKHS1,MELTF,YWHAH,LRRC26,KIF2C,CPPED1,CREB3L4,VSIG10L2,CDH3,SEMA3C,HTRA3,LHFPL2,ISOC1,ITGBL1,CHST2,ZNF141,ATP1A2,CHSY3,IER5L,IQCA1,SENCR,PCSK5,PRXL2A,MRC1,SLC26A4,CNOT6L,PASK,CNOT6L,TRGC2,AC018926.2,MCTP2,NLRC3,TRDC,CNR2,DNAJC5B,GNG8,AC078883.1,TFEC,CLEC4E,PADI2
