gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,avg_strength
VAV3,0,1.291071983,0.443,0.07,0,cDC_CLEC9A,1.291071983
RAB7B,0,1.222680288,0.398,0.034,0,cDC_CLEC9A,1.222680288
PDLIM1,0,1.169377563,0.373,0.042,0,cDC_CLEC9A,1.169377563
EGLN3,0,1.168158288,0.442,0.046,0,cDC_CLEC9A,1.168158288
PTK2,0,1.093484922,0.378,0.053,0,cDC_CLEC9A,1.093484922
TLR10,0,1.09265842,0.374,0.039,0,cDC_CLEC9A,1.09265842
PARM1,0,1.048381641,0.341,0.031,0,cDC_CLEC9A,1.048381641
BIK,0,1.035479055,0.279,0.017,0,cDC_CLEC9A,1.035479055
DGAT2,0,0.933555616,0.348,0.028,0,cDC_CLEC9A,0.933555616
GNAO1,0,0.890802716,0.34,0.011,0,cDC_CLEC9A,0.890802716
TOX,0,0.849055736,0.3,0.012,0,cDC_CLEC9A,0.849055736
CBFA2T3,0,0.760472337,0.392,0.055,0,cDC_CLEC9A,0.760472337
DPP4,0,0.755366718,0.271,0.017,0,cDC_CLEC9A,0.755366718
ZEB1,0,0.712848786,0.29,0.03,0,cDC_CLEC9A,0.712848786
FKBP1B,0,0.625616232,0.313,0.024,0,cDC_CLEC9A,0.625616232
CXCR3,0,0.569919947,0.4,0.046,0,cDC_CLEC9A,0.569919947
FBXO27,0,0.5202049,0.273,0.006,0,cDC_CLEC9A,0.5202049
SLAMF7,7.82E-308,2.020039636,0.699,0.2,1.44E-303,cDC_CLEC9A,2.020039636
RHOF,2.17E-306,1.640589939,0.612,0.149,4.00E-302,cDC_CLEC9A,1.640589939
ASAP1,1.92E-304,1.66123609,0.696,0.213,3.53E-300,cDC_CLEC9A,1.66123609
AIM2,5.23E-296,1.441004457,0.427,0.079,9.63E-292,cDC_CLEC9A,1.441004457
ITGB7,7.63E-296,1.338607162,0.444,0.085,1.41E-291,cDC_CLEC9A,1.338607162
NAAA,1.66E-295,2.65785019,0.811,0.359,3.07E-291,cDC_CLEC9A,2.65785019
KCNK6,2.45E-293,1.447041126,0.621,0.166,4.52E-289,cDC_CLEC9A,1.447041126
MZT2A,4.86E-292,1.17279544,0.694,0.221,8.95E-288,cDC_CLEC9A,1.17279544
CNN2,1.72E-289,2.079564707,0.834,0.394,3.18E-285,cDC_CLEC9A,2.079564707
HSH2D,1.19E-287,1.035200155,0.429,0.079,2.20E-283,cDC_CLEC9A,1.035200155
P2RY14,1.58E-287,1.020608169,0.403,0.071,2.92E-283,cDC_CLEC9A,1.020608169
HDAC9,1.34E-282,1.650422557,0.541,0.126,2.47E-278,cDC_CLEC9A,1.650422557
TRERF1,7.94E-280,0.957547476,0.342,0.054,1.46E-275,cDC_CLEC9A,0.957547476
KIF16B,6.57E-275,1.041939568,0.447,0.09,1.21E-270,cDC_CLEC9A,1.041939568
NAALADL1,2.20E-265,1.160877172,0.293,0.042,4.05E-261,cDC_CLEC9A,1.160877172
THEM4,4.32E-261,1.242311817,0.394,0.075,7.95E-257,cDC_CLEC9A,1.242311817
MCOLN2,2.53E-248,1.096778785,0.478,0.11,4.66E-244,cDC_CLEC9A,1.096778785
LIMD2,6.33E-241,1.649232822,0.878,0.474,1.17E-236,cDC_CLEC9A,1.649232822
SHTN1,2.32E-239,0.994102704,0.482,0.13,4.27E-235,cDC_CLEC9A,0.994102704
MAGEF1,1.65E-238,0.840187254,0.407,0.085,3.04E-234,cDC_CLEC9A,0.840187254
LYRM4,2.20E-231,1.360160204,0.514,0.134,4.04E-227,cDC_CLEC9A,1.360160204
DENND1B,3.44E-227,1.371304636,0.607,0.188,6.33E-223,cDC_CLEC9A,1.371304636
TAP1,1.00E-226,2.129773255,0.814,0.415,1.84E-222,cDC_CLEC9A,2.129773255
GSTM2,3.84E-226,1.659768474,0.304,0.052,7.07E-222,cDC_CLEC9A,1.659768474
ANXA6,2.49E-220,1.527266343,0.648,0.217,4.59E-216,cDC_CLEC9A,1.527266343
CYB5R3,2.70E-215,2.102028961,0.779,0.403,4.98E-211,cDC_CLEC9A,2.102028961
LRRCC1,1.02E-212,0.534436104,0.334,0.065,1.87E-208,cDC_CLEC9A,0.534436104
CDK2AP2,1.14E-212,1.715612184,0.794,0.39,2.09E-208,cDC_CLEC9A,1.715612184
DUSP4,3.82E-212,1.491035424,0.44,0.11,7.03E-208,cDC_CLEC9A,1.491035424
SUSD3,4.73E-210,1.86285505,0.407,0.094,8.71E-206,cDC_CLEC9A,1.86285505
P2RY6,5.62E-204,1.380226167,0.588,0.187,1.03E-199,cDC_CLEC9A,1.380226167
CSRP1,2.18E-203,2.145637466,0.654,0.25,4.02E-199,cDC_CLEC9A,2.145637466
NDRG2,2.58E-203,2.341099698,0.514,0.138,4.75E-199,cDC_CLEC9A,2.341099698
PIK3CB,2.15E-202,1.636346223,0.45,0.114,3.96E-198,cDC_CLEC9A,1.636346223
NAV1,3.42E-200,1.051567197,0.431,0.107,6.29E-196,cDC_CLEC9A,1.051567197
FNBP1,1.20E-199,1.338049897,0.812,0.426,2.20E-195,cDC_CLEC9A,1.338049897
ENSA,1.57E-197,1.463274508,0.814,0.466,2.88E-193,cDC_CLEC9A,1.463274508
PTPN22,2.29E-196,1.152685843,0.418,0.101,4.21E-192,cDC_CLEC9A,1.152685843
RUBCNL,3.89E-196,0.529695628,0.32,0.064,7.16E-192,cDC_CLEC9A,0.529695628
